"name","converted_modelid"
"1st_Gold_Musketeer","13"
"1st_Iron_Musketeer","5"
"1st_Legionnaire","5"
"1st_Legion_Aidman","14"
"1st_Legion_Mercenary","103"
"1st_Legion_Reiter","5"
"2nd_Legionnaire","5"
"2nd_Legion_Grenadier","2"
"2nd_Legion_Scout","5"
"3rd_Legionnaire","10"
"4th_Legionnaire","6"
"7th_Cohors_Legionnaire","2"
"8th_Iron_Musketeer","13"
AaBho_Slashburner,"153"
Aa_Nawu_the_Thunderblade,"86"
AaNyu_Dismantler,"29"
Aa_Xalmo_the_Savage,"36"
Abenzio,"40"
Abhac,"92"
Abraxas,"80"
Absolute_Virtue,"98"
Abyssal_Demon,"242"
Abyssal_Pugil,"92"
Abyssdweller_Jhabdebb,"122"
Abyssic_Cluster,"34"
Abyssobugard,"72"
Abyss_Sahagin,"51"
Abyss_Worm,"169"
Abxzomit,"16"
Ace_of_Batons,"175"
Ace_of_Coins,"175"
Ace_of_Cups,"175"
Ace_of_Swords,"175"
Achamoth,"16"
Achamothcampa,"10"
Achamoth_Nympha,"16"
Achtelle,"9"
Acid_Grease,"36"
Acrolith,"242"
Acrophies,"20"
Acro_Bat,"0"
Adam,"0"
Adamantking_Effigy,"34"
Adamantoise,"144"
Adamantshell,"100"
Adaman_Quadav,"145"
Adamastor,"196"
Adasaurus,"60"
Addled_Tumor,"64"
Adelheid,"0"
Adjudicator_Demon,"171"
Aerial_Torpedo,"26"
Aerns_Avatar,"29"
Aerns_Elemental,"15"
Aerns_Euvhi,"14"
Aerns_Wynav,"18"
Aerns_Xzomit,"16"
Aestutaur,"79"
Afrhaad,"94"
Agas,"8"
Aggressor_Antlion,"67"
Agloolik,"22"
Agonizer,"104"
Agrios,"18"
Ahriman,"8"
Ahtu,"132"
Aht_Urhgan_Attercop,"56"
Aiatar,"62"
Aipaloovik,"92"
Airi,"112"
Air_Elemental,"182"
Air_Pot,"156"
Aitvaras,"164"
Ajattara,"197"
Ajido-Marujido,"7"
Akash,"23"
Akbaba_LTP,"188"
Akrab,"28"
Akselloak,"22"
Alastor_Antlion,"68"
Albino_Antlion,"67"
Alexander,"42"
Alfard,"5"
Alfons,"13"
Alklha,"164"
Alkonost,"86"
Alkyoneus,"131"
All-Seeing_Onyx_Eye,"9"
Allied_Armored_Belfry,"25"
Allied_Belfry,"25"
Allied_Mantelet,"23"
Allocamelus,"76"
Allotaur,"79"
Almighty_Apkallu,"187"
Almops,"19"
Alpha_Gnole_Anders,"241"
Alraune,"45"
Alsha,"55"
Altedour_I_Tavnazia,"40"
Amaltheia,"88"
Amaranth,"232"
Amarok,"1"
Amber_Quadav,"154"
Ambusher_Antlion,"68"
Amemet,"72"
Ameretat,"126"
Amethyst_Quadav,"153"
Amhuluk,"87"
Amikiri,"28"
Amnaf_blu,"103"
Amoebic_Nodule,"36"
Amphiptere,"174"
Amphisbaena,"168"
Amphitrite,"82"
Amuckatrice,"32"
Amun,"128"
Anansi,"57"
Anantaboga,"165"
Anautogenous_Slug,"20"
Ancient_Bat,"0"
Ancient_Bomb,"24"
Ancient_Bombs,"35"
Ancient_Goobbue,"40"
Ancient_Orobon,"195"
Ancient_Quadav,"137"
Ancient_Royal_Knight,"152"
Ancient_Sorcerer,"52"
Ancient_Vessel,"156"
Ancient_Warrior,"60"
Ancient_Weapon,"220"
Ancilla_Beetle,"152"
Anderss_Guard,"241"
Andhrimnir,"84"
Andrass_Vouivre,"142"
Anemic_Aloysius,"88"
Anemone,"124"
Angantyr,"232"
Angler_Crab,"100"
Angler_Orobon,"193"
Angler_Tiger,"52"
Angra_Mainyu,"9"
Anguis,"126"
Animated_Claymore,"203"
Animated_Dagger,"197"
Animated_Great_Axe,"202"
Animated_Gun,"210"
Animated_Hammer,"201"
Animated_Horn,"214"
Animated_Knuckles,"196"
Animated_Kunai,"207"
Animated_Longbow,"209"
Animated_Longsword,"194"
Animated_Scythe,"200"
Animated_Shield,"213"
Animated_Spear,"204"
Animated_Staff,"206"
Animated_Tabar,"198"
Animated_Tachi,"208"
Anise_Custard,"8"
Annihilated_Anthony,"112"
Ansherekh,"200"
Antaeus,"131"
Antares_H,"28"
